host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
0,2,2,2,1.0,1.0,1.0,5,3,14,10.0,10.0,10.0,10.0,10.0,10.0,0,1
0,5,1,4,1.0,2.0,3.0,3,3,15,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,1,2,1,2.0,1.0,1.0,2,2,99,7.0,8.0,9.0,8.0,9.0,8.0,1,8
0,1,1,4,1.0,1.0,2.0,7,2,365,9.0,9.0,9.0,10.0,9.0,9.0,1,3
0,1,1,5,2.0,2.0,4.0,9,3,365,9.0,9.0,9.0,10.0,10.0,9.0,0,7
0,2,2,4,1.0,1.0,4.0,4,2,60,10.0,8.0,10.0,10.0,10.0,8.0,1,1
0,1,1,3,1.0,2.0,2.0,2,5,1125,10.0,9.0,10.0,10.0,9.0,10.0,0,1
0,1,1,5,1.0,2.0,2.0,10,5,1125,2.0,6.0,6.0,4.0,6.0,2.0,0,7
0,2,1,4,1.0,1.0,1.0,5,1,1125,10.0,9.0,9.0,10.0,9.0,9.0,0,1
0,2,1,4,2.0,2.0,1.0,2,3,1125,9.0,8.0,9.0,9.0,10.0,9.0,1,1
0,3,2,4,2.0,1.0,6.0,2,2,200,9.0,8.0,9.0,10.0,9.0,9.0,1,15
0,5,2,6,1.0,3.0,3.0,4,2,1125,10.0,9.0,10.0,10.0,10.0,10.0,0,2
1,1,1,2,1.0,1.0,1.0,5,2,120,10.0,10.0,10.0,10.0,10.0,10.0,1,5
0,13,1,4,1.0,1.0,2.0,8,6,1125,9.0,9.0,9.0,9.0,9.0,9.0,1,1
0,2,2,1,1.0,1.0,1.0,2,2,1825,10.0,10.0,10.0,10.0,10.0,10.0,0,1
0,2,2,2,1.0,1.0,1.0,3,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
0,21,1,4,1.0,1.0,1.0,5,2,1125,8.0,10.0,10.0,10.0,8.0,10.0,0,1
